FOLIO,Sexo:,Edad:,Ciudad donde reside.,P1_1am,"¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","¿Alguna otra? Otra? (OTRAS MENCIONES, INSISTIR)","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?","De los siguientes lugares, podría indicarme ¿en cuál sí compraría y en cuál no compraría una batería para automóvil?",¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué sí compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,¿Por qué NO compraría una batería para atomóvil en …?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?,Independientemente de baterías o compras de accesorios para automóviles. ¿cuál es su frecuencia de compra al mes en las siguientes tiendas o establecimientos?
FOLIO,Sexo:,Edad:,Ciudad donde reside.,¿En qué lugares sabe que venden baterías para autos? (PRIMERA MENCIÓN),Soriana,Mercado Soriana,Walmart,Chedraui,Comercial Mexicana,HEB,Bodega Aurrera,City Club,Costco,Sam´s,Coppel,Famsa,Elektra,Sears,Liverpool,Autozone,Red LTH,Agencia de automóviles,Refaccionaria Tradicional,Taller mecánico eléctrico,Centros de servicio LTH,Otros,Soriana,Mercado Soriana,Walmart,Chedraui,Comercial Mexicana,HEB,Bodega Aurrera,City Club,Costco,Sam´s,Coppel,Famsa,Elektra,Sears,Liverpool,Autozone,Red LTH,Agencia de automóviles,Refaccionaria Tradicional,Taller mecánico eléctrico,Centros de servicio LTH,Soriana,Soriana,Soriana,Mercado Soriana,Mercado Soriana,Walmart,Walmart,Chedraui,Chedraui,Chedraui,Comercial Mexicana,Comercial Mexicana,HEB,Bodega Aurrera,Bodega Aurrera,City Club,Costco,Costco,Sam´s,Sam´s,Coppel,Coppel,Coppel,Famsa,Famsa,Elektra,Elektra,Sears,Sears,Liverpool,Liverpool,Autozone,Autozone,Autozone,Red LTH,Red LTH,Agencia de automóviles,Agencia de automóviles,Refaccionaria Tradicional,Refaccionaria Tradicional,Refaccionaria Tradicional,Taller mecánico eléctrico,Taller mecánico eléctrico,Centros de servicio LTH,Centros de servicio LTH,Centros de servicio LTH,P5_88,P5_88,Soriana,Soriana,Mercado Soriana,Walmart,Walmart,Chedraui,Chedraui,Comercial Mexicana,HEB,Bodega Aurrera,City Club,Costco,Costco,Sam´s,Sam´s,Coppel,Famsa,Elektra,Elektra,Sears,Sears,Liverpool,Liverpool,Autozone,Autozone,Red LTH,Agencia de automóviles,Agencia de automóviles,Refaccionaria Tradicional,Refaccionaria Tradicional,Taller mecánico eléctrico,Taller mecánico eléctrico,Centros de servicio LTH,[Insert text from Other],Soriana - Frecuencia:,Walmart - Frecuencia:,Chedraui - Frecuencia:,Comercial Mexicana - Frecuencia:,HEB - Frecuencia:,Bodega Aurrera - Frecuencia:,City Club - Frecuencia:,Costco - Frecuencia:,Sam´s - Frecuencia:,Coppel - Frecuencia:,Famsa - Frecuencia:,Elektra - Frecuencia:,Sears - Frecuencia:,Liverpool - Frecuencia:,Autozone - Frecuencia:
FOLIO,Sexo,Edad,CIUDAD_COD,P1_1am,P1_1,P1_2,P1_3,P1_4,P1_5,P1_6,P1_7,P1_8,P1_9,P1_10,P1_11,P1_12,P1_13,P1_14,P1_15,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_Otro,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P4_11,P4_12,P4_13,P4_14,P4_15,P4_16,P4_17,P4_18,P4_19,P4_20,P4_21,CD_P5_1_1,CD_P5_1_2,CD_P5_1_3,CD_P5_2_1,CD_P5_2_2,CD_P5_3_1,CD_P5_3_2,CD_P5_4_1,CD_P5_4_2,CD_P5_4_3,CD_P5_5_1,CD_P5_5_2,CD_P5_6,CD_P5_7_1,CD_P5_7_2,CD_P5_8,CD_P5_9_1,CD_P5_9_2,CD_P5_10_1,CD_P5_10_2,CD_P5_11_1,CD_P5_11_2,CD_P5_11_3,CD_P5_12_1,CD_P5_12_2,CD_P5_13_1,CD_P5_13_2,CD_P5_14_1,CD_P5_14_2,CD_P5_15_1,CD_P5_15_2,CD_P5_16_1,CD_P5_16_2,CD_P5_16_3,CD_P5_17_1,CD_P5_17_2,CD_P5_18_1,CD_P5_18_2,CD_P5_19_1,CD_P5_19_2,CD_P5_19_3,CD_P5_20_1,CD_P5_20_2,CD_P5_21_1,CD_P5_21_2,CD_P5_21_3,CD_P5_88_1,CD_P5_88_2,CD_P6_1_1,CD_P6_1_2,CD_P6_2,CD_P6_3_1,CD_P6_3_2,CD_P6_4_1,CD_P6_4_2,CD_P6_5,CD_P6_6,CD_P6_7,CD_P6_8,CD_P6_9_1,CD_P6_9_2,CD_P6_10_1,CD_P6_10_2,CD_P6_11,CD_P6_12,CD_P6_13_1,CD_P6_13_2,CD_P6_14_1,CD_P6_14_2,CD_P6_15_1,CD_P6_15_2,CD_P6_16_1,CD_P6_16_2,CD_P6_17,CD_P6_18_1,CD_P6_18_2,CD_P6_19_1,CD_P6_19_2,CD_P6_20_1,CD_P6_20_2,CD_P6_21,CD_P6_88,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P8_11,P8_12,P8_13,P8_14,P8_15
1,Hombre,35 - 44,Guadalajara,Sam´s,,,Walmart,,,,,,,,Coppel,,,,,,,,,,,,,,Sí,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,Otro,,,,,,,,,,,,,Por comodidad / Es práctico / Fácil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Una vez por semana,Mensual,Una vez por semana,Con menor frecuencia,Nunca,Una vez por semana,Nunca,No especificó,Quincenal,Una vez por semana,Con menor frecuencia,Quincenal,Quincenal,Quincenal,Más de una vez por semana
2,Hombre,25 - 34,Guadalajara,Autozone,,,Walmart,,,,,,,,,,,,,,,,Refaccionaria Tradicional,,,,,,Sí,,,,,,,,,,,,,Sí,,,Sí,,,,,,,,Por comodidad / Es práctico / Fácil,,,,,,,,,,,,,,,,,,,,,,,,,,Brinda garantía / Mayor garantía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Una vez por semana,Mensual,Con menor frecuencia,Con menor frecuencia,Nunca,Quincenal,Nunca,Nunca,Mensual,Mensual,Mensual,Una vez por semana,Con menor frecuencia,Quincenal,Más de una vez por semana
3,Mujer,35 - 44,Colima,Autozone,,,,Chedraui,,,,,,,,,,,,,Red LTH,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buena atención / servicio,,,Por comodidad / Es práctico / Fácil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Una vez por semana,Con menor frecuencia,Una vez por semana,Con menor frecuencia,Con menor frecuencia,Con menor frecuencia,Semestral,Mensual,Quincenal,Con menor frecuencia,Semestral,Una vez por semana,Una vez por semana,Semestral,Semestral
4,Hombre,18 - 24,Colima,HEB,,,Walmart,,,,,,,,,,Elektra,,,,Red LTH,,,,,,,,Sí,,,Sí,,,,,,,No,,,,Sí,,,,,,,,,,Promociones / Descuentos,,,,,,,Le recomendaron ese lugar,,,,,,,,,,,,,,,,,,,,,,Buena atención / servicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precios más elevados,,,,,,,,,,,,,,,,,Diario,Mensual,Nunca,Nunca,Con menor frecuencia,Con menor frecuencia,Nunca,Nunca,Mensual,Mensual,No especificó,Con menor frecuencia,Mensual,Quincenal,Semestral
5,Hombre,45 - 54,Culiacán,Refaccionaria Tradicional,,,,,,,,,,Sam´s,Coppel,,,,,Autozone,Red LTH,,,,,,,,,,,,,,,No,Sí,,,,,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,Promociones / Descuentos,,,,,,,,,,,Brinda garantía / Mayor garantía,,,Brindan servicio completo / Revisión del automóvil / Manteni,,,,Precio accesible / Precio económico,Por la ubicación / Le queda cerca,,,,,,,,,,,,,,,,,,,,,,Precios más elevados,,,,,,,,,,,,,,,,,,,,,Con menor frecuencia,Una vez por semana,Nunca,Nunca,Nunca,Más de una vez por semana,Semestral,Semestral,Nunca,Con menor frecuencia,Nunca,Mensual,Mensual,Con menor frecuencia,Con menor frecuencia
6,Hombre,35 - 44,Colima,Red LTH,Soriana,,,,,,,,,,,,Elektra,,,,,,,,,,Sí,,,,,,,,,,,,Sí,,,,Sí,,,,,Precio accesible / Precio económico,,,,,,,,,,,,,,,,,,,,,,,,,Tiene productos de calidad,,,,,,,,,Le recomendaron ese lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quincenal,Quincenal,Nunca,Quincenal,Bimestral,Quincenal,Nunca,Con menor frecuencia,Quincenal,Con menor frecuencia,Con menor frecuencia,Una vez por semana,Semestral,Quincenal,Semestral
7,Hombre,25 - 34,Culiacán,Autozone,,,,,,,,,,,Coppel,Famsa,,,,,,,Refaccionaria Tradicional,,Centros de servicio LTH,,,,,,,,,,,,Sí,Sí,,,,Sí,,,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,Promociones / Descuentos,,,Facilidades de pago/ Meses sin intereses / Crédito,,,,,,,,Es un lugar de prestigio,Le recomendaron ese lugar,,,,,,Tienen en existencias / Encuentra la que necesita,Precio accesible / Precio económico,,,,Tiene productos de calidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diario,Con menor frecuencia,Nunca,Nunca,Nunca,Trimestral,Nunca,Nunca,Nunca,Bimestral,Mensual,Con menor frecuencia,Mensual,Con menor frecuencia,Con menor frecuencia
8,Mujer,45 - 54,Culiacán,Refaccionaria Tradicional,,,,,,,,,,,Coppel,,Elektra,,,Autozone,,,,,,,,,,,,,,,,,Sí,,Sí,,,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,Promociones / Descuentos,,,,,Facilidades de pago/ Meses sin intereses / Crédito,,,,,,Promociones / Descuentos,,,,,,,Precio accesible / Precio económico,Tienen variedad de productos y marcas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Más de una vez por semana,Quincenal,Nunca,Nunca,No especificó,Mensual,Con menor frecuencia,No especificó,Nunca,Mensual,Nunca,Mensual,Mensual,Semestral,Con menor frecuencia
